"","alg","tune","var","lag","val","sd"
"193","HMC","~tuned","x3",50,-0.00706570476994923,0.0353418403537454
"194","MHS","~tuned","x3",50,0.611591964691927,0.075260880845598
"195","HMC","tuned","x3",50,-0.00103237476258953,0.410142724212833
"196","MHS","tuned","x3",50,0.639165054867491,0.155844443217515
"197","HMC","~tuned","x4",50,-0.00867590430072808,0.0257196137836696
"198","MHS","~tuned","x4",50,0.513250515161938,0.199579181529509
"199","HMC","tuned","x4",50,0.00114445652337492,0.17250810197463
"200","MHS","tuned","x4",50,0.543021008645996,0.117159251435795
"201","HMC","~tuned","x5",50,-0.0228937034773131,0.0456751259808418
"202","MHS","~tuned","x5",50,0.508447063254194,0.230427306315003
"203","HMC","tuned","x5",50,0.00255076050242855,0.205730930368779
"204","MHS","tuned","x5",50,0.667660339202941,0.101918078873575
"205","HMC","~tuned","x6",50,-0.0122069371937125,0.0212147449623717
"206","MHS","~tuned","x6",50,0.521954505540792,0.0741476470017195
"207","HMC","tuned","x6",50,-0.000711270572771304,0.0671661952045089
"208","MHS","tuned","x6",50,0.709829011862684,0.168171630760872
"209","HMC","~tuned","x7",50,0.00115940056184008,0.0244271750101978
"210","MHS","~tuned","x7",50,0.409818897850088,0.236821171042434
"211","HMC","tuned","x7",50,0.000583364640360723,0.182225844562215
"212","MHS","tuned","x7",50,0.618206565588354,0.0783224040812406
"213","HMC","~tuned","x8",50,0.000594113342304739,0.026486383257436
"214","MHS","~tuned","x8",50,0.598125975608462,0.126796421205696
"215","HMC","tuned","x8",50,-0.0042573200776273,0.313086457021511
"216","MHS","tuned","x8",50,0.587294912071086,0.305776321451059
"217","HMC","~tuned","x9",50,-0.00745138678457197,0.0192111592054189
"218","MHS","~tuned","x9",50,0.406436113546835,0.102088404881704
"219","HMC","tuned","x9",50,-0.00385948143138839,0.218392540438046
"220","MHS","tuned","x9",50,0.530318069926338,0.195595742539924
"221","HMC","~tuned","x1",60,0.00350186192914394,0.0240672555953617
"222","MHS","~tuned","x1",60,0.573775004057202,0.105062282758617
"223","HMC","tuned","x1",60,0.00465839079099684,0.0213248024334477
