"","alg","tune","var","lag","val","sd"
"74","MHS","~tuned","x1",70,0.20490612708942,0.199416069660163
"75","RS","~tuned","x1",70,-0.00855245640987379,0.0532668025866638
"76","HMC","tuned","x1",70,0.00911730147538902,0.0427111587511494
"77","MHS","tuned","x1",70,0.122619834896396,0.120475494581995
"78","RS","tuned","x1",70,-0.00198631821295282,0.031049671305288
"79","HMC","~tuned","x2",70,-0.0348697007123847,0.0494410485093598
"80","MHS","~tuned","x2",70,0.289378100461761,0.144658832730315
"81","RS","~tuned","x2",70,-0.0034304951208917,0.0537375677304808
"82","HMC","tuned","x2",70,-0.0243376432132447,0.0401633557697742
"83","MHS","tuned","x2",70,0.224743790283526,0.144947664984963
"84","RS","tuned","x2",70,-0.0050999570327648,0.0347677382903028
"85","HMC","~tuned","x1",80,-0.0186594112213771,0.0315138818791557
"86","MHS","~tuned","x1",80,0.169526757727796,0.201143124691155
"87","RS","~tuned","x1",80,0.00183070086711327,0.0479069002562215
"88","HMC","tuned","x1",80,0.00163198894469166,0.0470970054516147
"89","MHS","tuned","x1",80,0.116653930911465,0.102713371298973
"90","RS","tuned","x1",80,0.00436752287304365,0.0307019092915847
"91","HMC","~tuned","x2",80,-0.0337937363235895,0.0460408759252307
"92","MHS","~tuned","x2",80,0.25330418303177,0.122143871550755
"93","RS","~tuned","x2",80,0.00249086356220976,0.050106130537531
"94","HMC","tuned","x2",80,-0.0100556017269315,0.0340979288491808
"95","MHS","tuned","x2",80,0.187050619915343,0.141053860373308
"96","RS","tuned","x2",80,-0.00296960611516751,0.0293355178571274
"97","HMC","~tuned","x1",90,-0.00538336542830002,0.0322709863539544
"98","MHS","~tuned","x1",90,0.134075489734935,0.207658441862687
"99","RS","~tuned","x1",90,-0.00351243194187499,0.0451025633346343
"100","HMC","tuned","x1",90,-0.0209624087307364,0.0448193551109547
"101","MHS","tuned","x1",90,0.108601319743561,0.0881659377079868
"102","RS","tuned","x1",90,-0.00660499872306275,0.0246035944126431
"103","HMC","~tuned","x2",90,-0.00336620707290304,0.0263389194607716
"104","MHS","~tuned","x2",90,0.217447401105132,0.101914122852514
"105","RS","~tuned","x2",90,-0.00902406939111062,0.04506486056412
"106","HMC","tuned","x2",90,-0.0201983366580669,0.0346178992548346
"107","MHS","tuned","x2",90,0.174663827507866,0.137977132706614
"108","RS","tuned","x2",90,-0.00138266397836071,0.0272324522128226
"109","HMC","~tuned","x1",100,-0.0134534491115959,0.0565776589550129
"110","MHS","~tuned","x1",100,0.113180388725798,0.200542496931645
"111","RS","~tuned","x1",100,0.00347377136121735,0.0349689014944428
"112","HMC","tuned","x1",100,-0.0196969075561934,0.0336898642281559
"113","MHS","tuned","x1",100,0.0970109785195918,0.0792019635335649
"114","RS","tuned","x1",100,0.00140413806328622,0.0344218602873708
"115","HMC","~tuned","x2",100,-0.00134208191296231,0.0328749195437628
"116","MHS","~tuned","x2",100,0.180488300531727,0.0851183536466101
"117","RS","~tuned","x2",100,-0.00117084763244426,0.0388018588666958
"118","HMC","tuned","x2",100,-0.03822284305843,0.058794531486804
"119","MHS","tuned","x2",100,0.164101542733331,0.133686230994367
"120","RS","tuned","x2",100,-0.00377829329627527,0.0245694508242616
